# Receiver Set: route rx                                                         
# Transmitter Set: tx                                                               
# Format: Path Number  Phase (Deg.)  Time (s)  Power (dBm)
     39
     1    191
  201    70.468   0.35914194E-07   -91.648
  202    70.471   0.35914191E-07   -91.649
  203    54.635   0.35555516E-07   -92.484
  204   -77.746   0.31760941E-07   -92.702
  205    70.423   0.35913214E-07   -93.083
  206   105.341   0.31348375E-07   -93.150
  207   -60.199   0.37156831E-07   -93.559
  208    23.874   0.36395711E-07   -93.888
  209    19.419   0.13856020E-06   -93.961
  210    25.455   0.37230222E-07   -94.173
  211    89.453   0.13864691E-06   -94.280
  212     0.209   0.74561633E-07   -94.503
  213   162.369   0.14030056E-06   -94.819
  214    54.117   0.36379603E-07   -94.968
  215    87.268   0.13864887E-06   -95.030
  216   -60.000   0.42016829E-07   -98.872
  217  -135.417   0.41710848E-07   -98.920
  218    28.143   0.41295142E-07   -98.959
  219    99.847   0.41604512E-07   -99.152
     4    215
    1   124.123   0.13330061E-07   -34.362
    2  -177.823   0.14278624E-07   -38.154
    3   168.134   0.14289772E-07   -38.202
    4   -99.009   0.14234176E-07   -40.564
    5  -122.176   0.14252551E-07   -40.641
    6    52.768   0.15947123E-07   -41.516
    7   -41.011   0.15301682E-07   -41.901
    8   -43.087   0.15300683E-07   -42.803
    9   136.395   0.16731038E-07   -47.206
   10  -103.291   0.16661174E-07   -48.934
